panel_uid,source_record_id,source_doi,source_doi_url,figure_id,panel_id,axis,chosen_model,usable_for_downstream,confidence,raw_anchor_count,parsed_anchor_count,normalized_rmse,slope,intercept,manual_review_recommended
batch0/case14/figure_5__a,batch0/case14,10.1002/adma.202501586,https://doi.org/10.1002/adma.202501586,figure_5,a,x,linear,yes,0.9789,3,3,0.0007388785592335919,319.0,431.8333333333333,False
batch0/case14/figure_5__a,batch0/case14,10.1002/adma.202501586,https://doi.org/10.1002/adma.202501586,figure_5,a,y,linear,yes,0.9863,5,5,0.00048029210642809236,-0.1275,45.400000000000006,False
batch0/case14/figure_5__i,batch0/case14,10.1002/adma.202501586,https://doi.org/10.1002/adma.202501586,figure_5,i,x,linear,yes,0.9725,3,3,0.0009620500424306496,612.4999999999999,414.8333333333333,False
batch0/case14/figure_5__i,batch0/case14,10.1002/adma.202501586,https://doi.org/10.1002/adma.202501586,figure_5,i,y,linear,yes,0.9682,5,5,0.0011135539861205238,-127.2,55.8,False
batch0/case15/figure_3__panel_a,batch0/case15,10.1002/adma.202503742,https://doi.org/10.1002/adma.202503742,figure_3,a,x,linear,yes,1.0,6,6,9.805448693258949e-17,354.99999999999994,433.0,False
batch0/case15/figure_3__panel_a,batch0/case15,10.1002/adma.202503742,https://doi.org/10.1002/adma.202503742,figure_3,a,y,linear,yes,0.9654,6,6,0.0012110418452260874,-0.2825714285714286,20.38095238095235,False
batch0/case16/figure_2__panel_a,batch0/case16,10.1002/adma.202507525,https://doi.org/10.1002/adma.202507525,figure_2,a,x,linear,yes,0.9764,5,5,0.000824744021139172,742.9999999999999,408.99999999999994,False
batch0/case16/figure_2__panel_a,batch0/case16,10.1002/adma.202507525,https://doi.org/10.1002/adma.202507525,figure_2,a,y,linear,yes,1.0,4,4,0.0,-0.055,53.0,False
batch0/case17/figure_3__panel_A,batch0/case17,10.1002/adma.202515230,https://doi.org/10.1002/adma.202515230,figure_3,a,x,linear,yes,1.0,4,4,0.0,-545.0,486.5,False
batch0/case17/figure_3__panel_A,batch0/case17,10.1002/adma.202515230,https://doi.org/10.1002/adma.202515230,figure_3,a,y,linear,yes,0.9447,5,5,0.0019344765077618591,-0.25616666666666665,36.80000000000001,False
batch0/case18/figure_4__panel_a,batch0/case18,10.1002/adma.202515697,https://doi.org/10.1002/adma.202515697,figure_4,a,x,linear,yes,0.9576,5,5,0.0014843087847542806,395.49999999999994,405.79999999999995,False
batch0/case18/figure_4__panel_a,batch0/case18,10.1002/adma.202515697,https://doi.org/10.1002/adma.202515697,figure_4,a,y,linear,yes,0.9691,6,6,0.0010830942174482102,-243.8571428571429,48.9047619047619,False
batch0/case19/figure_4__panel_a,batch0/case19,10.1002/adma.202517922,https://doi.org/10.1002/adma.202517922,figure_4,a,x,linear,yes,0.9872,6,6,0.00044788248793244887,629.2857142857142,395.2380952380952,False
batch0/case19/figure_4__panel_a,batch0/case19,10.1002/adma.202517922,https://doi.org/10.1002/adma.202517922,figure_4,a,y,linear,yes,0.9809,6,6,0.0006693844574198934,-2.5621428571428573,29.47619047619048,False
batch0/case19/figure_4__panel_g,batch0/case19,10.1002/adma.202517922,https://doi.org/10.1002/adma.202517922,figure_4,g,x,linear,yes,0.9479,5,5,0.0018247916933846779,776.0,408.6,False
batch0/case19/figure_4__panel_g,batch0/case19,10.1002/adma.202517922,https://doi.org/10.1002/adma.202517922,figure_4,g,y,linear,yes,0.8871,6,6,0.003951342583025223,-5.216285714285714,29.14285714285714,False
batch0/case20/figure_3__panel_a,batch0/case20,10.1002/adma.202519840,https://doi.org/10.1002/adma.202519840,figure_3,a,x,linear,yes,0.976,5,5,0.000839295882713979,842.0000000000001,409.6,False
batch0/case20/figure_3__panel_a,batch0/case20,10.1002/adma.202519840,https://doi.org/10.1002/adma.202519840,figure_3,a,y,linear,yes,0.9703,11,11,0.001040141006449766,-2.7554545454545454,38.68181818181819,False
batch0/case21/figure_4__panel_a,batch0/case21,10.1002/adma.202523202,https://doi.org/10.1002/adma.202523202,figure_4,a,x,linear,yes,0.9705,7,7,0.001033780849514457,514.9999999999999,354.57142857142856,False
batch0/case21/figure_4__panel_a,batch0/case21,10.1002/adma.202523202,https://doi.org/10.1002/adma.202523202,figure_4,a,y,linear,yes,0.9714,6,6,0.0010010416252172656,-2.638571428571429,49.23809523809521,False
batch0/case21/figure_6__panel_a,batch0/case21,10.1002/adma.202523202,https://doi.org/10.1002/adma.202523202,figure_6,a,x,linear,yes,0.9801,7,7,0.0006957328385899748,513.2142857142857,363.07142857142856,False
batch0/case21/figure_6__panel_a,batch0/case21,10.1002/adma.202523202,https://doi.org/10.1002/adma.202523202,figure_6,a,y,linear,yes,0.9854,3,3,0.0005112847297083063,-0.2305,64.41666666666666,False
batch0/case21/figure_6__panel_b,batch0/case21,10.1002/adma.202523202,https://doi.org/10.1002/adma.202523202,figure_6,b,x,linear,yes,0.9816,7,7,0.0006456127507919749,513.3928571428571,377.67857142857144,False
batch0/case21/figure_6__panel_b,batch0/case21,10.1002/adma.202523202,https://doi.org/10.1002/adma.202523202,figure_6,b,y,linear,yes,0.9706,3,3,0.0010292675126441447,-0.229,65.33333333333334,False
batch0/case21/figure_6__panel_c,batch0/case21,10.1002/adma.202523202,https://doi.org/10.1002/adma.202523202,figure_6,c,x,linear,yes,0.9728,5,5,0.0009523323652344209,371.0,366.59999999999997,False
batch0/case21/figure_6__panel_c,batch0/case21,10.1002/adma.202523202,https://doi.org/10.1002/adma.202523202,figure_6,c,y,linear,yes,0.97,6,6,0.0010487102740371586,-0.5037142857142857,64.90476190476193,False
batch0/case22/figure_2__panel_e,batch0/case22,10.1002/adma.72386,https://doi.org/10.1002/adma.72386,figure_2,e,x,linear,yes,0.6195,13,13,0.01331659111294342,2.2736686806238584,124.27764507517213,False
batch0/case22/figure_2__panel_e,batch0/case22,10.1002/adma.72386,https://doi.org/10.1002/adma.72386,figure_2,e,y,linear,yes,0.977,8,8,0.0008034421412844417,-0.9760428202288668,399.7124400147656,False
batch0/case22/figure_4__panel_a,batch0/case22,10.1002/adma.72386,https://doi.org/10.1002/adma.72386,figure_4,a,x,linear,yes,0.9846,8,8,0.0005404719953346086,493.80952380952385,387.07738095238096,False
batch0/case22/figure_4__panel_a,batch0/case22,10.1002/adma.72386,https://doi.org/10.1002/adma.72386,figure_4,a,y,linear,yes,1.0,4,4,0.0,-0.39,32.5,False
batch0/case23/figure_3__panel_a,batch0/case23,10.1002/anie.202317622,https://doi.org/10.1002/anie.202317622,figure_3,a,x,linear,yes,0.987,4,4,0.0004534127131665454,1006.5,372.6,False
batch0/case23/figure_3__panel_a,batch0/case23,10.1002/anie.202317622,https://doi.org/10.1002/anie.202317622,figure_3,a,y,linear,yes,0.978,6,6,0.0007701681847168147,-2.2271428571428573,27.47619047619048,False
batch0/case23/figure_3__panel_c,batch0/case23,10.1002/anie.202317622,https://doi.org/10.1002/anie.202317622,figure_3,c,x,linear,yes,0.9288,4,4,0.002491736758031815,1064.6399999999999,439.421,False
batch0/case23/figure_3__panel_c,batch0/case23,10.1002/anie.202317622,https://doi.org/10.1002/anie.202317622,figure_3,c,y,linear,yes,0.9115,5,5,0.003098638920388256,-0.02473,15.480000000000018,False
batch0/case23/figure_3__panel_g,batch0/case23,10.1002/anie.202317622,https://doi.org/10.1002/anie.202317622,figure_3,g,x,linear,yes,0.9881,4,4,0.00041562601812260205,1794.0,338.54999999999995,False
batch0/case23/figure_3__panel_g,batch0/case23,10.1002/anie.202317622,https://doi.org/10.1002/anie.202317622,figure_3,g,y,linear,yes,0.9854,4,4,0.00051168603604112,-3.64,26.049999999999997,False
batch0/case23/figure_3__panel_h,batch0/case23,10.1002/anie.202317622,https://doi.org/10.1002/anie.202317622,figure_3,h,x,linear,yes,1.0,4,4,0.0,1780.0,360.0,False
batch0/case23/figure_3__panel_h,batch0/case23,10.1002/anie.202317622,https://doi.org/10.1002/anie.202317622,figure_3,h,y,linear,yes,0.9655,4,4,0.0012064373513329535,-3.785,18.69999999999999,False
batch0/case24/figure_4__panel_a,batch0/case24,10.1002/anie.202319239,https://doi.org/10.1002/anie.202319239,figure_4,a,x,linear,yes,0.9599,7,7,0.0014051152874376143,627.4999999999999,500.82142857142856,False
batch0/case24/figure_4__panel_a,batch0/case24,10.1002/anie.202319239,https://doi.org/10.1002/anie.202319239,figure_4,a,y,linear,yes,0.9606,7,7,0.001377298632477528,-2.7357142857142858,70.14285714285715,False
batch0/case25/figure_4__panel_a,batch0/case25,10.1002/anie.202401819,https://doi.org/10.1002/anie.202401819,figure_4,a,x,linear,yes,0.9797,5,5,0.0007106600815945605,995.9999999999999,552.1999999999999,False
batch0/case25/figure_4__panel_a,batch0/case25,10.1002/anie.202401819,https://doi.org/10.1002/anie.202401819,figure_4,a,y,linear,yes,0.9555,6,6,0.0015564535077873278,-0.36142857142857143,41.952380952380935,False
batch0/case26/figure_4__panel_a,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,a,x,linear,yes,0.9611,5,5,0.0013607977931498478,565.4999999999999,331.59999999999997,False
batch0/case26/figure_4__panel_a,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,a,y,linear,yes,0.9742,5,5,0.0009029345372460304,-5.54,49.39999999999999,False
batch0/case26/figure_4__panel_d,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,d,x,linear,yes,0.9313,3,3,0.0024051251060766923,1959.9999999999998,333.33333333333337,False
batch0/case26/figure_4__panel_d,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,d,y,linear,yes,0.6,2,2,0.0,-3.75,42.0,False
batch0/case26/figure_4__panel_e,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,e,x,linear,yes,0.9634,3,3,0.0012798312781656545,552.4999999999999,336.79999999999995,False
batch0/case26/figure_4__panel_e,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,e,y,linear,yes,0.6,2,2,9.126786317507867e-17,-5.505,116.89999999999999,False
batch0/case26/figure_4__panel_h,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,h,x,linear,yes,0.9593,5,5,0.0014234875444839655,1404.0,371.0,False
batch0/case26/figure_4__panel_h,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,h,y,linear,yes,1.0,3,3,0.0,-2.7,33.0,False
batch0/case26/figure_4__panel_i,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,i,x,linear,yes,0.9717,5,5,0.0009889605331280386,357.0,343.79999999999995,False
batch0/case26/figure_4__panel_i,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,i,y,linear,yes,0.966,4,4,0.0011893978603722624,-12.52,48.10000000000001,False
batch0/case26/figure_4__panel_l,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,l,x,linear,yes,0.9104,4,4,0.0031360302133959417,389.15,312.16999999999996,False
batch0/case26/figure_4__panel_l,batch0/case26,10.1002/anie.202411125,https://doi.org/10.1002/anie.202411125,figure_4,l,y,linear,yes,0.8995,3,3,0.0035179441850076995,-10.05,60.5,False
batch0/case27/figure_4__panel_a,batch0/case27,10.1002/anie.202414518,https://doi.org/10.1002/anie.202414518,figure_4,a,x,linear,yes,0.9868,5,5,0.0004606558835091515,384.00000000000006,436.6,False
batch0/case27/figure_4__panel_a,batch0/case27,10.1002/anie.202414518,https://doi.org/10.1002/anie.202414518,figure_4,a,y,linear,yes,0.9843,6,6,0.0005500782232471612,-2.71,40.16666666666666,False
batch0/case28/figure_4__panel_a,batch0/case28,10.1002/anie.202414786,https://doi.org/10.1002/anie.202414786,figure_4,a,x,linear,yes,0.9923,6,6,0.00026857214335097477,1967.7142857142856,596.8809523809524,False
batch0/case28/figure_4__panel_a,batch0/case28,10.1002/anie.202414786,https://doi.org/10.1002/anie.202414786,figure_4,a,y,linear,yes,0.9513,8,8,0.0017043726415356326,-3.0316071428571427,72.05000000000001,False
batch0/case28/figure_4__panel_f,batch0/case28,10.1002/anie.202414786,https://doi.org/10.1002/anie.202414786,figure_4,f,x,linear,yes,0.9845,6,6,0.0005437756976489152,1944.5714285714282,628.9047619047618,False
batch0/case28/figure_4__panel_f,batch0/case28,10.1002/anie.202414786,https://doi.org/10.1002/anie.202414786,figure_4,f,y,linear,yes,0.9815,8,8,0.0006484249886528842,-3.0630952380952383,103.83333333333331,False
batch0/case29/figure_3__panel_a,batch0/case29,10.1002/anie.202415492,https://doi.org/10.1002/anie.202415492,figure_3,a,x,linear,yes,0.9816,5,5,0.0006429106936438788,953.0000000000001,472.70000000000005,False
batch0/case29/figure_3__panel_a,batch0/case29,10.1002/anie.202415492,https://doi.org/10.1002/anie.202415492,figure_3,a,y,linear,yes,0.9874,6,6,0.0004394977923705209,-0.32035714285714284,29.23809523809524,False
batch0/case30/figure_3__panel_a,batch0/case30,10.1002/anie.202503608,https://doi.org/10.1002/anie.202503608,figure_3,a,x,linear,yes,0.9906,4,4,0.00032931781701025955,565.9999999999999,420.04999999999995,False
batch0/case30/figure_3__panel_a,batch0/case30,10.1002/anie.202503608,https://doi.org/10.1002/anie.202503608,figure_3,a,y,linear,yes,1.0,4,4,0.0,-2.275,19.5,False
batch0/case31/figure_3__panel_a,batch0/case31,10.1002/anie.202503871,https://doi.org/10.1002/anie.202503871,figure_3,a,x,linear,yes,0.9648,6,6,0.0012328231733775995,555.1428571428571,384.95238095238096,False
batch0/case31/figure_3__panel_a,batch0/case31,10.1002/anie.202503871,https://doi.org/10.1002/anie.202503871,figure_3,a,y,linear,yes,0.9273,6,6,0.0025432260796557997,-0.26457142857142857,48.047619047619065,False
batch0/case32/figure_3__panel_a,batch0/case32,10.1002/anie.202517120,https://doi.org/10.1002/anie.202517120,figure_3,a,x,linear,yes,0.9783,3,3,0.0007578850816576072,777.4999999999999,376.83333333333337,False
