curve_uid,bv_fit_ok,bv_log_j0,bv_j0_mA,bv_alpha,bv_b_tafel_mV_dec,bv_r_mV_per_mA,bv_e_offset_mV,bv_sse_mV2,bv_rmse_mV,bv_r2,bv_at_alpha_low,bv_at_alpha_high,bv_at_r_upper_bound,bvir_fit_ok,bvir_log_j0,bvir_j0_mA,bvir_alpha,bvir_b_tafel_mV_dec,bvir_r_mV_per_mA,bvir_e_offset_mV,bvir_sse_mV2,bvir_rmse_mV,bvir_r2,bvir_at_alpha_low,bvir_at_alpha_high,bvir_at_r_upper_bound
batch2/case283/figure_6__panel_c/curve_green,True,1.2919444484468292,3.6398571939467628,0.18775958182272706,157.56854894829243,0.0,0.0,3726.309832665589,14.388092748028352,0.9659034951836638,False,False,False,True,-0.010509612594960084,0.98954542042286,0.3153732814159511,93.80948419636452,0.22679055864133524,0.0,79.8465261324799,2.106161940229456,0.9992693877897705,False,False,False
batch2/case283/figure_6__panel_c/curve_orange,True,1.8546302006861088,6.3893350419766195,0.14309638497860563,206.74879287389786,0.0,0.0,1594.5895998327119,9.412136372886728,0.9702968603952731,False,False,False,True,-3.611399017513993,0.027014027320070865,0.47335892174014904,62.50015263298663,0.2824099557089511,0.0,108.9927291375239,2.4607217678460374,0.9979697432807716,False,False,False
batch2/case283/figure_6__panel_c/curve_purple,True,2.776589310489808,16.064137620564075,0.12223920565334924,242.0254999271151,0.0,0.0,555.7878819557023,4.62346807043114,0.9974738609115031,False,False,False,True,2.7765893110129847,16.064137628968457,0.12223920562719506,242.02549997889864,4.45013985708826e-26,0.0,555.7878819557012,4.623468070431135,0.9974738609115031,False,False,False
batch2/case283/figure_6__panel_c/curve_red,True,2.70910804055964,15.015875987503987,0.21024566181208462,140.71636296299923,0.0,0.0,1014.0889434700448,6.949097041274481,0.9888108978860592,False,False,False,True,2.344206949727517,10.425001897794816,0.29931161007296286,98.84349241158196,0.12376695943687538,0.0,132.5736435688577,2.5125745055890545,0.9985372288643309,False,False,False
batch2/case286/figure_4__panel_g/curve_blue_fesx,True,-1.7151597318221865,0.1799349770757731,0.19367566606005032,152.75540526486313,0.0,0.0,853.1121287060087,4.868013879471017,0.9968402072407458,False,False,False,True,-1.71515972762402,0.1799349778311701,0.19367566593179142,152.75540536602318,2.5654996681691923e-19,0.0,853.1121287060082,4.8680138794710155,0.9968402072407458,False,False,False
batch2/case286/figure_4__panel_g/curve_orange_ptc,True,3.361073412671688,28.820110153141503,0.09158410348939991,323.03646300768236,0.0,0.0,9053.96963085751,15.23657006868294,0.9818549467939479,False,False,False,True,2.9596962983384834,19.292111819297933,0.1829970527803781,161.66929690639012,0.4812181541344873,0.0,714.5278556200374,4.280330252116119,0.9985680153031169,False,False,False
batch2/case286/figure_4__panel_g/curve_pink_femos,True,-0.04202926871489938,0.9588417160969589,0.17912222276609546,165.16657956829008,0.0,0.0,4474.837695475159,12.01455796439652,0.9821362855263597,False,False,False,True,-1.0619400759724027,0.3457843113270983,0.2461871787258979,120.17280920987727,0.24500497709773048,0.0,45.92919179453653,1.2172045153062092,0.999816648999571,False,False,False
batch2/case286/figure_4__panel_g/curve_red_femos_ru,True,2.089763742486135,8.083005267971094,0.15813175258392428,187.0908554133922,0.0,0.0,12445.259358197647,20.71586045571384,0.9393048379502481,False,False,False,True,0.2743406224452416,1.3156628702273558,0.3738945472985419,79.12660153164171,0.35231500747718847,0.0,241.0324040051125,2.882960666931279,0.9988244920897775,False,False,False
batch2/case286/figure_4__panel_g/curve_teal_mos2,True,0.7742642996578019,2.168995809090586,0.1219462298316357,242.60696619970653,0.0,0.0,29152.05548360655,26.996321732602087,0.9468053358581122,False,False,False,True,-1.3770980227959233,0.25230968864206393,0.25767387126326985,114.81569595668385,0.7801923674080508,0.0,81.09173177178505,1.4238305005493548,0.9998520293898758,False,False,False
batch2/case288/figure_4__panel_a/curve_1,True,1.043127544072429,2.838079366729286,0.17308752600478844,170.92511252443936,0.0,0.0,7820.835033730175,15.166560579630222,0.9765629210699159,False,False,False,True,0.5122389333255685,1.6690238479203345,0.2230224386500286,132.65483526243153,0.17645111096009386,0.0,3866.835202386159,10.664447811724932,0.988412065788744,False,False,False
batch2/case288/figure_4__panel_a/curve_2,True,2.456914085986926,11.668747172417525,0.21944035777009846,134.82025439432007,0.0,0.0,21.45642251391367,1.1580269457657728,0.9984765062431664,False,False,False,True,2.304422502618825,10.018390986961908,0.23758989106962614,124.5213116002286,0.01966652470790883,0.0,17.48074875214978,1.0452496338240742,0.9987587953410496,False,False,False
batch2/case288/figure_4__panel_a/curve_3,True,3.5942308410809582,36.387701296542154,0.11949569225769614,247.58218727369947,0.0,0.0,13.169872953556597,1.3716451516105237,0.9979043565610414,False,False,False,True,2.9845592251464055,19.77778276554686,0.19187428804021653,154.189522531254,0.14417371490793005,0.0,2.1223886174975313,0.5506345193758004,0.9996622769409497,False,False,False
batch2/case288/figure_4__panel_a/curve_4,True,3.4339924874177754,31.0001637713441,0.2766002763296404,106.95941902706973,0.0,0.0,179.01469191221918,3.7108436933296653,0.9894464869229135,False,False,False,True,3.3429240519065946,28.301761652212935,0.33738681177333096,87.68868203070603,0.05018199941559412,0.0,137.28407724496788,3.2496636186270567,0.9919066458232882,False,False,False
batch2/case288/figure_4__panel_a/curve_5,True,2.025116500703949,7.576993618310146,0.17849494901094237,165.74701425938736,0.0,0.0,1766.6481273296934,8.088968545081752,0.9884278001522749,False,False,False,True,1.781295586974643,5.937544042245777,0.21042324040632085,140.5976108048595,0.08746149441173093,0.0,1212.8155698014768,6.702170930216005,0.992055608621175,False,False,False
batch2/case288/figure_4__panel_a/curve_6,True,3.420814568501933,30.59432604814047,0.20070221585429313,147.40746499990595,0.0,0.0,139.42940447125488,3.408682595853014,0.9940784157281383,False,False,False,True,3.3994241880522336,29.946851327071858,0.20832428542855252,142.01419099114992,0.013173157423903762,0.0,136.79023477149084,3.376268092281413,0.9941905015958514,False,False,False
batch2/case288/figure_4__panel_a/curve_7,True,2.4391859324821494,11.463704713589795,0.24574343458942768,120.38980780249128,0.0,0.0,243.50085746888942,3.4892754080818085,0.996233415665689,False,False,False,True,2.3296846215241787,10.27470060259489,0.2724304823529818,108.59652929958362,0.03853848546364001,0.0,162.1217101735991,2.8471188083183243,0.9974922261049138,False,False,False
batch2/case29/figure_3__panel_e/curve_1,True,-4.155728351893927,0.015674370513562602,0.44016445678257166,67.213525315515,0.0,0.0,906.4546202023369,5.407445942349328,0.9818044551255557,False,False,False,True,-5.97514268943672,0.0025411394671392843,0.5903793368951936,50.111856919879514,0.36945872943974395,0.0,54.088339781043125,1.3209031585347948,0.9989142679713514,False,False,False
batch2/case29/figure_3__panel_e/curve_2,True,-1.3461671617868287,0.2602357932622634,0.29460998007131006,100.42091870677383,0.0,0.0,1089.2668925337334,5.927701215027336,0.9908300225574452,False,False,False,True,-1.3461672064263035,0.26023578164547456,0.2946099829098676,100.42091773922157,8.814925254631028e-22,0.0,1089.2668925337246,5.927701215027312,0.9908300225574453,False,False,False
batch2/case30/figure_5__panel_a/curve_4,True,-3.368907711904624,0.03442722125744144,0.32937179833689023,89.82251974312918,0.0,0.0,161.2173976530641,2.7070396246979342,0.9971577727447919,False,False,False,True,-3.6410119261945004,0.026225791967758916,0.3582970394822993,82.57116749190124,0.7107871721589364,0.0,50.92761562321458,1.5214767889248348,0.9991021573398762,False,False,False
batch2/case30/figure_5__panel_a/curve_5,True,-2.2171526985177845,0.1089187923734905,0.8381886575935188,35.296355529178,0.0,0.0,99.39739003115855,1.7355235873235257,0.9894793603224266,False,False,False,True,-2.6674160653424406,0.06943139992249073,0.9899999999999995,29.88384329186394,0.36132857470246915,0.0,29.82161498115704,0.950623638702144,0.9968435542852612,False,True,False
batch2/case31/figure_5__panel_c/curve_ngo_ni7s6,True,-2.8827413703689544,0.05598108739551953,0.17856703489958378,165.68010369653197,0.0,0.0,21048.1705241758,27.920635223178042,0.9261463845036157,False,False,False,True,-2.882741375676749,0.05598108709838342,0.17856703511141336,165.68010349998985,5.704377711279507e-17,0.0,21048.170524175803,27.920635223178046,0.9261463845036157,False,False,False
