cycle,native_index,px,py,eta_mV,j_mA_cm2
4,35,199.0,293.5,369.3379790940763,18.676393745729335
4,36,195.0,299.0,373.3200597312092,19.140640700992808
4,37,191.0,304.5,377.30214036834207,19.604887656256285
5,13,323.0,131.5,245.8934793429565,5.002210699786971
5,14,319.0,135.5,249.87555998008943,5.3398448490694985
5,15,315.0,139.5,253.85764061722233,5.677478998352026
5,16,311.0,143.5,257.8397212543552,6.015113147634554
5,17,307.0,147.0,261.8218018914881,6.310543028256765
5,18,303.0,151.0,265.80388252862105,6.648177177539293
5,19,299.0,155.0,269.7859631657539,6.98581132682182
5,20,295.0,159.5,273.7680438028868,7.365649744764664
5,21,291.0,164.0,277.75012444001965,7.745488162707507
5,22,287.0,168.0,281.73220507715257,8.083122311990035
5,23,283.0,172.5,285.7142857142855,8.462960729932878
5,24,279.0,176.5,289.69636635141836,8.800594879215407
5,25,275.0,181.0,293.6784469885513,9.180433297158249
5,26,271.0,185.5,297.66052762568415,9.560271715101093
5,27,267.0,190.0,301.6426082628171,9.940110133043936
5,28,263.0,194.5,305.62468889995,10.31994855098678
5,29,259.0,199.0,309.60676953708287,10.699786968929622
5,30,255.0,204.0,313.5888501742158,11.121829655532782
5,31,251.0,208.5,317.5709308113486,11.501668073475624
5,32,247.0,213.0,321.5530114484815,11.881506491418468
5,33,243.0,218.0,325.53509208561445,12.303549178021628
5,34,239.0,222.5,329.5171727227473,12.68338759596447
5,35,235.0,227.0,333.49925335988024,13.063226013907315
5,36,231.0,232.5,337.4813339970131,13.52747296917079
5,37,227.0,237.0,341.46341463414603,13.907311387113634
5,38,223.0,242.0,345.44549527127896,14.329354073716793
5,39,219.0,246.5,349.4275759084118,14.709192491659635
5,40,215.0,251.0,353.40965654554475,15.08903090960248
5,41,211.0,256.0,357.39173718267756,15.51107359620564
5,42,207.0,260.5,361.3738178198105,15.890912014148482
5,43,203.0,265.0,365.3558984569434,16.270750432091326
5,44,199.0,270.0,369.3379790940763,16.692793118694485
5,45,195.0,275.0,373.3200597312092,17.114835805297645
5,46,191.0,280.0,377.30214036834207,17.536878491900804
5,47,187.0,285.0,381.284221005475,17.958921178503964
5,48,183.0,289.5,385.2663016426079,18.338759596446806
5,49,179.0,294.5,389.2483822797408,18.760802283049966
5,50,175.0,299.0,393.2304629168737,19.140640700992808
5,51,171.0,304.5,397.2125435540066,19.604887656256285
