cycle,px,py,Zreal_ohm,minus_Zimag_ohm
3,787.5,631.0,46.8161024702653,2.221206581352807
3,786.5,633.0,46.72461116193959,2.038391224862862
3,786.0,635.0,46.678865507776734,1.8555758683729169
3,785.5,637.0,46.63311985361388,1.672760511882972
3,785.5,639.0,46.63311985361388,1.489945155393027
4,846.0,575.0,52.168344007319284,7.340036563071267
4,844.5,577.0,52.03110704483072,7.1572212065813225
4,842.0,579.0,51.80237877401645,6.974405850091378
4,841.5,581.0,51.75663311985359,6.791590493601432
4,839.5,583.0,51.573650503202174,6.608775137111487
4,837.5,585.0,51.39066788655075,6.425959780621542
4,836.0,587.0,51.253430924062194,6.243144424131597
4,833.5,589.0,51.02470265324792,6.060329067641653
4,833.0,591.0,50.978956999085064,5.877513711151708
4,831.5,593.0,50.8417200365965,5.694698354661762
4,830.5,595.0,50.75022872827079,5.511882998171817
4,829.5,597.0,50.65873741994508,5.329067641681872
4,827.5,599.0,50.47575480329366,5.1462522851919275
4,827.0,601.0,50.43000914913081,4.963436928701983
4,827.0,603.0,50.43000914913081,4.780621572212037
4,825.5,605.0,50.292772186642246,4.597806215722092
4,823.0,607.0,50.06404391582797,4.414990859232147
4,822.5,609.0,50.018298261665116,4.232175502742202
4,822.5,611.0,50.018298261665116,4.0493601462522575
4,820.5,613.0,49.8353156450137,3.866544789762312
4,818.5,615.0,49.65233302836228,3.683729433272367
4,819.0,617.0,49.698078682525136,3.500914076782422
4,818.5,619.0,49.65233302836228,3.318098720292477
4,816.0,621.0,49.423604757548006,3.135283363802532
4,816.0,623.0,49.423604757548006,2.952468007312587
4,812.5,625.0,49.103385178408026,2.7696526508226422
4,813.0,627.0,49.14913083257088,2.586837294332697
4,811.5,629.0,49.01189387008232,2.404021937842752
4,811.0,631.0,48.96614821591946,2.221206581352807
4,810.5,633.0,48.92040256175661,2.038391224862862
4,810.0,635.0,48.87465690759375,1.8555758683729169
4,809.5,637.0,48.828911253430896,1.672760511882972
5,869.5,575.0,54.318389752973445,7.340036563071267
5,867.5,577.0,54.13540713632203,7.1572212065813225
5,865.0,579.0,53.90667886550776,6.974405850091378
5,865.0,581.0,53.90667886550776,6.791590493601432
5,863.0,583.0,53.723696248856335,6.608775137111487
5,861.5,585.0,53.58645928636777,6.425959780621542
5,860.0,587.0,53.44922232387921,6.243144424131597
5,858.5,589.0,53.31198536139065,6.060329067641653
5,857.0,591.0,53.17474839890208,5.877513711151708
5,856.5,593.0,53.129002744739225,5.694698354661762
5,854.5,595.0,52.94602012808781,5.511882998171817
5,853.5,597.0,52.8545288197621,5.329067641681872
5,851.5,599.0,52.67154620311068,5.1462522851919275
5,851.0,601.0,52.62580054894783,4.963436928701983
5,851.0,603.0,52.62580054894783,4.780621572212037
5,849.5,605.0,52.488563586459264,4.597806215722092
5,848.5,607.0,52.39707227813356,4.414990859232147
5,847.0,609.0,52.25983531564499,4.232175502742202
5,847.0,611.0,52.25983531564499,4.0493601462522575
5,845.5,613.0,52.12259835315643,3.866544789762312
5,843.5,615.0,51.93961573650501,3.683729433272367
5,843.0,617.0,51.893870082342154,3.500914076782422
5,843.5,619.0,51.93961573650501,3.318098720292477
5,840.5,621.0,51.66514181152788,3.135283363802532
5,839.0,623.0,51.52790484903932,2.952468007312587
5,837.5,625.0,51.39066788655075,2.7696526508226422
5,838.0,627.0,51.43641354071361,2.586837294332697
5,837.0,629.0,51.3449222323879,2.404021937842752
5,837.0,631.0,51.3449222323879,2.221206581352807
5,836.0,633.0,51.253430924062194,2.038391224862862
5,836.0,635.0,51.253430924062194,1.8555758683729169
5,835.5,637.0,51.207685269899336,1.672760511882972
