source,x_pixel,y_pixel,x_first,x_last,U_mV,J_mA_cm2
figure4_experiment,322.47610619469026,136,321,324,113.29991703539838,10.52405498281787
figure4_experiment,319.39169675090255,144,318,321,115.70961191335752,11.211340206185566
figure4_experiment,316.7959183673469,152,315,319,117.73756377551035,11.898625429553265
figure4_experiment,313.53954305799647,161,312,315,120.28160698594041,12.671821305841924
figure4_experiment,310.404973357016,171,309,312,122.7304895648314,13.530927835051546
figure4_experiment,307.0625,181,305,309,125.34179687500014,14.390034364261169
figure4_experiment,303.65799256505574,192,302,305,128.00156830855036,15.335051546391755
figure4_experiment,300.0967741935484,204,298,302,130.78377016129045,16.365979381443303
figure4_experiment,296.5904255319149,216,295,298,133.52310505319164,17.396907216494846
figure4_experiment,292.6394927536232,230,291,294,136.60977128623205,18.59965635738832
figure4_experiment,288.60115606936415,244,287,290,139.7647218208094,19.802405498281793
figure4_experiment,284.61400359066425,259,283,286,142.8796846947937,21.091065292096225
figure4_experiment,280.5492957746479,275,279,282,146.05523767605652,22.465635738831622
figure4_experiment,276.42293906810033,292,275,278,149.27895385304677,23.926116838487978
figure5_red_model,245.55806451612904,206,244,247,66.06771527592636,2.0290449428970176
figure5_red_model,243.60677966101696,203,242,245,67.68034738758925,2.180427579652916
figure5_red_model,242.51132686084142,201,241,244,68.58568028029632,2.287573200318398
figure5_red_model,240.15384615384616,198,238,242,70.53401144310232,2.4582440689202
figure5_red_model,238.17424242424244,195,236,240,72.17004758327067,2.641648320386095
figure5_red_model,236.62424242424242,193,234,239,73.45103931880789,2.7714582033232564
figure5_red_model,234.40495867768595,190,232,237,75.28515811761488,2.9782306811565054
figure5_red_model,232.6897746967071,188,230,235,76.70266553991144,3.124580130133983
figure5_red_model,230.9809885931559,185,229,233,78.11488546020169,3.357698268059219
figure5_red_model,229.37249283667623,182,228,231,79.44422079613531,3.608208843997366
figure5_red_model,227.58095238095237,180,226,229,80.92483274301455,3.785515249258634
figure5_red_model,225.34782608695653,177,224,227,82.77039166367226,4.0679443210830515
figure5_red_model,222.3621399176955,174,220,225,85.23790089446649,4.371444812611094
figure5_red_model,220.17278287461772,172,217,223,87.04728688048118,4.5862564266371315
figure5_red_model,218.04,169,215,221,88.80991735537188,4.928427058753214
figure5_red_model,215.78365384615384,166,213,218,90.67466624284805,5.29612629864681
figure5_red_model,214.95164835164834,164,213,217,91.36227408954679,5.556376510434
figure5_red_model,211.98614318706697,161,210,214,93.81310480407686,5.970925695213061
figure5_red_model,209.01302083333334,158,207,211,96.2702307162534,6.4164034944008606
figure5_red_model,206.8181818181818,156,204,210,98.08414725770095,6.731703824144989
figure5_red_model,204.00273597811218,153,201,207,100.41096200156014,7.233941627366755
figure5_red_model,202.07879656160458,151,199,205,102.00099457718628,7.589415559523436
figure5_red_model,199.45104895104896,148,197,202,104.17268681731488,8.155645372647497
figure5_red_model,196.56382978723406,145,194,199,106.55881835765777,8.76412036245953
figure5_red_model,193.3745704467354,143,192,195,109.19456987873104,9.194786863188806
figure5_red_model,191.83333333333334,140,190,194,110.4683195592286,9.880789942928702
figure5_red_model,187.45221445221446,137,185,190,114.08907896511198,10.617974222669726
figure5_red_model,184.93790149892934,135,182,188,116.16702355460384,11.139738599948036
figure5_red_model,182.02153846153846,132,180,184,118.57724094087729,11.970850304957311
figure5_red_model,177.9731543624161,129,177,179,121.92301292362305,12.863969449369758
figure5_red_model,175.4047619047619,127,174,177,124.04565131837859,13.496101423729558
figure5_red_model,171.06216216216217,124,169,173,127.6345767254858,14.50301624175826
figure5_red_model,168.47121535181236,121,166,171,129.7758550811468,15.58505478766464
figure5_red_model,166.51122194513715,119,164,169,131.39568434286184,16.350900158505027
figure5_red_model,163.0,116,163,163,134.29752066115702,17.570805310429773
figure5_red_model,160.47916666666666,114,160,161,136.38085399449037,18.434229924091124
figure5_red_model,155.0233918128655,111,154,156,140.88975883234255,19.809567785503408
figure5_red_model,151.57205240174673,108,150,153,143.74210545310189,21.287516617963746
figure5_red_model,148.56744186046512,106,147,150,146.22525466077263,22.33357941855519
figure5_red_model,144.4771573604061,103,143,146,149.60565507404453,23.999839277615262
