curve_uid,native_index,layers,j_mA_cm2,eta_mV,per_layer_j
batch1/case4/figure_4__panel_c/curve_4,13,18,132.792270531401,293.18181818181813,7.37734836285561
batch1/case4/figure_4__panel_c/curve_4,14,18,145.35265700483092,309.8484848484849,8.075147611379496
batch1/case4/figure_4__panel_c/curve_4,15,18,158.8792270531401,325.0,8.82662372517445
batch1/case4/figure_4__panel_c/curve_4,16,18,171.43961352657007,340.1515151515151,9.524422973698337
batch1/case4/figure_4__panel_c/curve_4,17,18,183.0338164251208,353.78787878787875,10.168545356951155
batch1/case4/figure_4__panel_c/curve_4,18,18,196.56038647342996,368.93939393939394,10.920021470746109
batch1/case4/figure_4__panel_c/curve_4,19,18,209.12077294685992,384.0909090909091,11.617820719269995
batch1/case4/figure_4__panel_c/curve_5,0,24,7.188405797101434,75.0,0.2995169082125598
batch1/case4/figure_4__panel_c/curve_5,1,24,10.086956521739115,87.12121212121212,0.42028985507246314
batch1/case4/figure_4__panel_c/curve_5,2,24,13.951690821256024,99.24242424242425,0.5813204508856676
batch1/case4/figure_4__panel_c/curve_5,3,24,18.782608695652158,111.36363636363636,0.7826086956521733
batch1/case4/figure_4__panel_c/curve_5,4,24,27.478260869565204,126.51515151515153,1.1449275362318836
batch1/case4/figure_4__panel_c/curve_5,5,24,38.1062801932367,141.66666666666666,1.5877616747181957
batch1/case4/figure_4__panel_c/curve_5,6,24,50.66666666666666,156.81818181818184,2.1111111111111107
batch1/case4/figure_4__panel_c/curve_5,7,24,65.15942028985506,171.96969696969697,2.7149758454106276
batch1/case4/figure_4__panel_c/curve_5,8,24,79.65217391304347,187.12121212121212,3.3188405797101446
batch1/case4/figure_4__panel_c/curve_5,9,24,95.1111111111111,202.27272727272728,3.9629629629629624
batch1/case4/figure_4__panel_c/curve_5,10,24,111.53623188405797,217.42424242424244,4.647342995169082
batch1/case4/figure_4__panel_c/curve_5,11,24,127.96135265700484,232.57575757575756,5.331723027375202
batch1/case4/figure_4__panel_c/curve_5,12,24,145.35265700483092,247.72727272727275,6.056360708534622
batch1/case4/figure_4__panel_c/curve_5,13,24,162.743961352657,262.8787878787879,6.780998389694042
batch1/case4/figure_4__panel_c/curve_5,14,24,181.10144927536234,278.030303030303,7.545893719806764
batch1/case4/figure_4__panel_c/curve_5,15,24,198.4927536231884,293.18181818181813,8.270531400966183
batch1/case4/figure_4__panel_c/curve_5,16,24,217.81642512077295,308.33333333333337,9.075684380032206
