x_pixel,y_pixel,eta_mV,theta_1
199,220.5,104.54545454545453,0.4228571428571425
198,219.5,105.37190082644625,0.4266666666666663
197,218.0,106.198347107438,0.432380952380952
196,217.5,107.02479338842971,0.43428571428571383
195,216.0,107.85123966942146,0.4399999999999996
194,215.0,108.6776859504132,0.44380952380952343
193,214.0,109.50413223140492,0.44761904761904725
192,213.0,110.33057851239667,0.45142857142857107
191,212.0,111.15702479338842,0.4552380952380949
190,211.0,111.98347107438013,0.4590476190476186
189,210.0,112.80991735537188,0.4628571428571424
188,209.0,113.63636363636363,0.46666666666666623
187,208.0,114.46280991735534,0.47047619047619005
186,207.0,115.28925619834709,0.47428571428571387
185,206.0,116.11570247933881,0.4780952380952377
184,205.0,116.94214876033055,0.4819047619047615
183,204.0,117.7685950413223,0.4857142857142853
182,203.0,118.59504132231402,0.48952380952380914
181,202.5,119.42148760330576,0.491428571428571
180,201.0,120.24793388429751,0.4971428571428568
179,200.0,121.07438016528923,0.5009523809523806
178,199.0,121.90082644628097,0.5047619047619044
177,198.5,122.72727272727272,0.5066666666666663
176,197.5,123.55371900826444,0.5104761904761901
175,196.5,124.38016528925618,0.5142857142857139
174,196.0,125.20661157024793,0.5161904761904758
173,195.0,126.03305785123965,0.5199999999999996
172,194.0,126.8595041322314,0.5238095238095234
171,193.0,127.68595041322311,0.5276190476190472
170,192.5,128.51239669421486,0.5295238095238092
169,191.5,129.3388429752066,0.5333333333333329
168,191.0,130.16528925619832,0.5352380952380948
167,190.0,130.99173553719007,0.5390476190476187
166,189.0,131.8181818181818,0.5428571428571425
165,188.5,132.64462809917353,0.5447619047619043
164,187.5,133.47107438016528,0.5485714285714282
163,187.0,134.29752066115702,0.5504761904761901
162,186.0,135.12396694214874,0.5542857142857139
161,185.0,135.9504132231405,0.5580952380952376
160,185.0,136.77685950413223,0.5580952380952376
159,184.0,137.60330578512395,0.5619047619047615
158,183.0,138.4297520661157,0.5657142857142853
157,182.0,139.25619834710741,0.5695238095238091
156,182.0,140.08264462809916,0.5695238095238091
155,181.0,140.9090909090909,0.5733333333333329
154,180.0,141.73553719008265,0.5771428571428567
153,179.5,142.56198347107437,0.5790476190476187
152,179.0,143.3884297520661,0.5809523809523806
151,178.5,144.21487603305786,0.5828571428571424
150,178.0,145.04132231404958,0.5847619047619044
149,177.0,145.8677685950413,0.5885714285714282
148,176.0,146.69421487603304,0.592380952380952
147,175.5,147.5206611570248,0.5942857142857139
146,175.0,148.3471074380165,0.5961904761904758
145,174.0,149.17355371900825,0.5999999999999996
144,174.0,150.0,0.5999999999999996
143,173.0,150.82644628099172,0.6038095238095235
142,173.0,151.65289256198346,0.6038095238095235
141,172.0,152.4793388429752,0.6076190476190472
140,171.0,153.30578512396693,0.611428571428571
139,171.0,154.13223140495867,0.611428571428571
138,170.0,154.95867768595042,0.6152380952380948
137,170.0,155.78512396694214,0.6152380952380948
136,169.0,156.61157024793388,0.6190476190476186
135,169.0,157.43801652892563,0.6190476190476186
134,168.5,158.26446280991735,0.6209523809523806
