curve_uid,paper_key,native_index,j,eta_mV
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,14,61.89127972819932,19.408284023668646
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,15,70.21517553793885,20.591715976331365
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,16,77.34994337485844,21.775147928994087
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,17,84.881087202718,22.95857988165681
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,18,91.61947904869763,24.142011834319536
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,19,95.18686296715742,25.325443786982255
batch0/case10/figure_4__panel_a/curve_4,10.1002/adma.202412541,20,99.1506228765572,26.508875739644978
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,0,0.607787274453939,8.896797153024911
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,1,1.006647673314338,11.862396204033216
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,2,1.4055080721747366,14.827995255041522
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,3,2.2032288698955345,17.793594306049823
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,4,2.6020892687559334,20.759193357058127
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,5,3.0009496676163323,23.72479240806643
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,6,3.5992402659069302,26.69039145907474
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,7,4.197530864197529,29.655990510083043
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,8,4.596391263057928,32.62158956109135
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,9,5.394112060778725,35.587188612099645
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,10,6.191832858499523,38.55278766310796
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,11,6.989553656220321,41.518386714116254
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,12,7.7872744539411185,44.483985765124565
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,13,8.784425451092115,47.44958481613286
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,14,9.781576448243113,50.41518386714117
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,15,10.978157644824309,53.38078291814948
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,16,12.174738841405507,56.346381969157775
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,17,13.570750237416902,59.31198102016609
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,18,14.966761633428298,62.277580071174384
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,19,16.562203228869894,65.2431791221827
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,20,18.15764482431149,68.20877817319099
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,21,19.753086419753085,71.17437722419929
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,22,21.34852801519468,74.1399762752076
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,23,23.342830009496673,77.10557532621591
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,24,25.33713200379867,80.07117437722421
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,25,27.73029439696106,83.03677342823251
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,26,29.724596391263056,86.00237247924082
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,27,32.11775878442545,88.96797153024913
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,28,34.51092117758784,91.93357058125743
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,29,36.90408357075024,94.89916963226572
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,30,39.69610636277303,97.86476868327404
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,31,42.08926875593542,100.83036773428233
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,32,45.08072174738841,103.79596678529064
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,33,48.072174738841404,106.76156583629896
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,34,51.06362773029439,109.72716488730725
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,35,54.254510921177584,112.69276393831555
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,36,57.24596391263058,115.65836298932386
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,37,60.43684710351377,118.62396204033217
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,38,64.02659069325736,121.58956109134046
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,39,67.21747388414055,124.55516014234877
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,40,71.20607787274454,127.52075919335707
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,41,75.19468186134853,130.4863582443654
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,42,78.78442545109212,133.4519572953737
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,43,82.37416904083571,136.41755634638199
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,44,85.9639126305793,139.38315539739028
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,45,89.95251661918329,142.34875444839858
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,46,94.33998100664768,145.3143534994069
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,47,98.32858499525166,148.2799525504152
batch0/case10/figure_4__panel_b/curve_1,10.1002/adma.202412541,48,99.92402659069326,151.2455516014235
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,0,4.197530864197529,11.269276393831555
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,1,4.795821462488127,14.23487544483986
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,2,5.792972459639124,17.200474495848166
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,3,6.989553656220321,20.166073546856467
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,4,8.186134852801517,23.13167259786477
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,5,9.582146248812913,26.097271648873075
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,6,11.377018043684709,29.06287069988138
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,7,13.171889838556503,32.028469750889684
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,8,15.365622032288696,34.99406880189799
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,9,17.55935422602089,37.95966785290629
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,10,20.15194681861348,40.9252669039146
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,11,22.943969610636277,43.8908659549229
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,12,25.935422602089268,46.856465005931206
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,13,29.126305792972456,49.82206405693951
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,14,32.51661918328585,52.787663107947814
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,15,36.10636277302944,55.75326215895612
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,16,40.09496676163343,58.718861209964416
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,17,44.08357075023741,61.68446026097273
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,18,48.471035137701804,64.65005931198104
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,19,52.85849952516619,67.61565836298932
batch0/case10/figure_4__panel_b/curve_2,10.1002/adma.202412541,20,57.445394112060775,70.58125741399763
