condition,eta_mV,n_families,all_families_supported,n_families_supported,common_support_min_mV,common_support_max_mV,X_V_mean,X_V_sd,X_H_mean,X_H_sd,X_T_mean,X_T_sd
acid,5.5,4,True,4,4.94542072980592,192.1075672620645,0.1614538785259522,0.1363434692067343,0.0646961179167626,0.0274322779940217,0.7738500031780893,0.1115402626989095
acid,6.0,4,True,4,4.94542072980592,192.1075672620645,0.1635269897752866,0.1370395986637848,0.0642683570867274,0.0271777647364209,0.7722046527505744,0.1124270926569727
acid,6.5,4,True,4,4.94542072980592,192.1075672620645,0.1656150227795083,0.1377199390092663,0.0638458683224207,0.0269250051613693,0.7705391085078284,0.1132976843383751
acid,7.0,4,True,4,4.94542072980592,192.1075672620645,0.16771775941804,0.1383841339829628,0.0634286296566365,0.026673993832406,0.768853610521425,0.1141516617094241
acid,7.5,4,True,4,4.94542072980592,192.1075672620645,0.169834972740146,0.1390318337858154,0.0630166192773784,0.0264247253299306,0.7671484075838508,0.1149886561476125
acid,8.0,4,True,4,4.94542072980592,192.1075672620645,0.1719664268907128,0.1396626954383616,0.0626098154892784,0.0261771942786936,0.7654237572121692,0.1158083066509098
acid,8.5,4,True,4,4.94542072980592,192.1075672620645,0.174111877097538,0.1402763830272537,0.0622081967723286,0.0259313953251923,0.7636799257279558,0.116610260130269
acid,9.0,4,True,4,4.94542072980592,192.1075672620645,0.1762710696167068,0.1408725680608296,0.0618117417354735,0.0256873231596943,0.7619171882441989,0.117394171593387
acid,9.5,4,True,4,4.94542072980592,192.1075672620645,0.1784437417255979,0.1414509297181287,0.0614204291430886,0.0254449724999257,0.7601358287226967,0.1181597044352579
acid,10.0,4,True,4,4.94542072980592,192.1075672620645,0.1806296217142233,0.1420111551526006,0.0610342379089856,0.0252043381098,0.7583361399713939,0.1189065306421748
acid,10.5,4,True,4,4.94542072980592,192.1075672620645,0.1828284288491465,0.1425529397840661,0.0606531470743742,0.0249654147814621,0.7565184236630884,0.1196343310469049
acid,11.0,4,True,4,4.94542072980592,192.1075672620645,0.1850398733990176,0.143075987553448,0.0602771358542696,0.0247281973600249,0.7546829903300467,0.1203427955488283
acid,11.5,4,True,4,4.94542072980592,192.1075672620645,0.1872636566457585,0.1435800111978613,0.0599061835941937,0.0244926807136944,0.7528301593483222,0.1210316233338704
acid,12.0,4,True,4,4.94542072980592,192.1075672620645,0.1894994708553087,0.1440647325419896,0.0595402697840252,0.0242588597621141,0.7509602589369502,0.1217005231237635
acid,12.5,4,True,4,4.94542072980592,192.1075672620645,0.1917469993746035,0.1445298827050792,0.0591793740643553,0.0240267294553258,0.7490736261397679,0.12234921338271
acid,13.0,4,True,4,4.94542072980592,192.1075672620645,0.1940059165796425,0.1449752024058277,0.0588234762187722,0.0237962847833289,0.7471706067737893,0.122977422537669
acid,13.5,4,True,4,4.94542072980592,192.1075672620645,0.1962758879913705,0.1454004421652803,0.0584725561760256,0.0235675207840378,0.745251555405696,0.1235848891959338
acid,14.0,4,True,4,4.94542072980592,192.1075672620645,0.1985565702698754,0.145805362576762,0.0581265940106656,0.0233404325232561,0.7433168352911357,0.1241713623452069
acid,14.5,4,True,4,4.94542072980592,192.1075672620645,0.2008476113090073,0.1461897345136981,0.0577855699391005,0.0231150151146038,0.7413668183224587,0.1247366015671146
acid,15.0,4,True,4,4.94542072980592,192.1075672620645,0.2031486502902801,0.1465533393633981,0.0574494643179323,0.02289126370153,0.7394018849599115,0.1252803772332087
acid,15.5,4,True,4,4.94542072980592,192.1075672620645,0.2054593177654162,0.1468959692419257,0.057118257649008,0.022669173467501,0.7374224241558924,0.1258024706989028
acid,16.0,4,True,4,4.94542072980592,192.1075672620645,0.2077792357197127,0.1472174272203818,0.0567919305764496,0.0224487396325858,0.7354288332653558,0.1263026744920733
acid,16.5,4,True,4,4.94542072980592,192.1075672620645,0.210108017720506,0.1475175274830599,0.0564704638882639,0.0222299574577629,0.7334215179568837,0.1267807924968856
acid,17.0,4,True,4,4.94542072980592,192.1075672620645,0.2124452689719613,0.1477960955658659,0.0561538384990511,0.0220128222217062,0.7314008920890624,0.1272366401209294
acid,17.5,4,True,4,4.94542072980592,192.1075672620645,0.2147905864620657,0.1480529685153747,0.0558420354827004,0.0217973292519164,0.7293673776153642,0.1276700444775984
