panel_uid,n_curves,D_range_mV,E_range_mV,E_zero_and_nonzero,E_pos_and_neg
batch2/case237/figure_5__panel_a,3,108.51631466522508,18.018757238481857,True,False
batch2/case237/figure_5__panel_b,2,303.27615678085834,8.871703481135183,True,False
batch2/case237/figure_5__panel_f,4,289.1837515810183,252.21097873977962,False,True
batch2/case244/figure_4__panel_a,2,74.13777856480364,15.430413433420817,False,False
batch2/case244/figure_4__panel_f,2,18.093638724415463,61.77877456005073,False,False
batch2/case247/figure_1__e,2,15.226114192805412,203.8455370526948,True,False
batch2/case247/figure_4__panel_a,4,52.40637257037826,216.7619788642383,True,True
batch2/case25/figure_4__a,3,34.521731790837435,54.335070957327304,False,False
batch2/case250/figure_5__panel_a,3,23.951300372005193,42.04857631792041,False,False
batch2/case254/figure_3__a,4,245.5568638651438,399.5929096097077,False,True
batch2/case257/figure_3__panel_a,2,20.87738427092691,0.01676783684249017,False,False
batch2/case270/figure_5__panel_a,2,264.7318522904481,43.919146298680005,False,True
batch2/case273/figure_3__panel_a,5,23.554238601503236,16.544306044325158,True,False
batch2/case273/figure_3__panel_f,2,3.0880704154138385,5.464220211286969,True,False
batch2/case275/figure_2__a,4,56.27964928841338,214.33599500559487,True,True
batch2/case275/figure_2__f,2,0.002520406093594829,9.639205522757608,False,False
batch2/case278/figure_3__panel_a,3,98.42582866014347,215.42569207312164,False,True
batch2/case278/figure_4__panel_a,2,41.945394289008775,1.1747235930670286e-06,False,False
batch2/case28/figure_6__a,2,24.242034777532353,293.2341581953368,False,True
batch2/case283/figure_6__panel_c,3,69.29009761905668,222.99974013594945,False,True
batch2/case286/figure_4__panel_g,4,129.46100310454383,315.77568525024486,True,True
batch2/case288/figure_4__panel_a,3,32.578060439428384,270.13644792816734,False,True
batch2/case35/figure_5__panel_a,3,43.2054562746772,223.64275603705838,False,True
batch2/case38/figure_2__panel_a,4,19.13157256581934,1.7740576224416031,False,False
batch2/case44/figure_5__panel_A,6,70.80739239800744,285.1212699168907,True,True
batch2/case45/figure_5__panel_d,4,44.894172708431924,291.5546540465507,False,True
batch2/case46/figure_6__panel_a,2,254.20230119432307,32.96715319310335,False,True
batch2/case49/figure_3__panel_b,2,0.42076588669414505,1.92813203772306,False,False
batch2/case51/figure_10__panel_D,2,12.127383929706603,10.592790291914781,False,False
batch2/case51/figure_8__panel_C,2,43.17034198156587,145.21601544187052,True,False
batch2/case55/figure_4__panel_a,6,290.29733782743966,184.17051767069518,False,False
batch2/case57/figure_4__panel_d,6,66.52975211157528,399.9963074834355,False,True
batch2/case57/figure_6__panel_d,5,81.09707119879346,288.6170184387528,True,True
batch2/case58/figure_3__panel_a,2,60.79865424134347,98.22636499751025,False,False
batch2/case60/figure_2__panel_a,3,28.281683561838864,6.753793826419496e-05,False,False
batch2/case64/figure_2__panel_b,2,192.56069893190747,12.766244156620388,False,False
batch2/case69/figure_4__panel_a,4,44.31656462822308,391.08831593487963,False,True
batch2/case71/figure_3__panel_d,3,59.17730118800365,199.85006483048778,True,False
