case_rel_path,curve_label,both_better,Alloy/intermetallic/bimetallic,Explicit carbon support,Pt-containing,Ir-containing,Ru-containing,Ru + carbon support,Ru + alloy/bimetallic,Phase-controlled Ru nanocages,Ru without carbon/alloy/phase,Oxide/hydroxide interface,Other PM chalcogenide/phosphide,Ru chalcogenide/MoS2,Ru MOF/framework
batch6/case1053,RuCu/CQDs-600 initial,True,True,True,False,False,True,True,True,False,False,False,False,False,False
batch6/case1072,12.8% Pt/LiCoO2,False,False,False,True,False,False,False,False,False,False,True,False,False,False
batch6/case1091,CoRu0.5/CQDs,True,False,True,False,False,True,True,False,False,False,False,False,False,False
batch7/case1195,m-PtPb NSs,True,False,True,True,False,False,False,False,False,False,False,False,False,False
batch7/case1207,PtSA-NiSe,False,False,False,True,False,False,False,False,False,False,False,False,False,False
batch8/case1618,Turing Pt,True,False,False,True,False,False,False,False,False,False,False,False,False,False
batch8/case1620,Pt-(LaCeSmYErGdYb)O,True,False,False,True,False,False,False,False,False,False,True,False,False,False
batch8/case1719,Ru_fcc nanocages,True,False,False,False,False,True,False,False,True,False,False,False,False,False
batch8/case1719,Ru_fcc/hcp,True,False,False,False,False,True,False,False,True,False,False,False,False,False
batch8/case1719,Ru_hcp,True,False,False,False,False,True,False,False,True,False,False,False,False,False
batch8/case1719,Pt2.8%-Ru_fcc,True,True,True,True,False,True,True,True,False,False,False,False,False,False
batch8/case1719,Pt5.3%-Ru_fcc,True,False,True,True,False,True,True,False,False,False,False,False,False,False
batch8/case1719,Pt8.7%-Ru_fcc,True,True,True,True,False,True,True,True,False,False,False,False,False,False
batch8/case1719,Ru_fcc nanocages,True,False,True,False,False,True,True,False,True,False,False,False,False,False
batch8/case1741,Ru/RuO2@HLC,True,False,True,False,False,True,True,False,False,False,True,False,False,False
batch8/case1800,Ni@Ni2P-Ru,False,False,False,False,False,True,False,False,False,True,False,False,False,False
